,variable,chi_sq,p_value
670,siglades_Florianapolis,0.0001,0.9936
542,vlo_i_942,0.0009,0.9763
409,vlo_i_582,0.001,0.9744
92,vlo_i_1226,0.0014,0.9699
91,vlo_i_1224,0.0014,0.9699
427,vlo_i_638,0.0024,0.9606
312,vlo_i_344,0.0062,0.9372
188,vlo_i_184,0.0066,0.9352
243,vlo_i_249,0.0068,0.9344
147,vlo_i_1359,0.0075,0.9309
457,vlo_i_763,0.0075,0.9309
374,vlo_i_486,0.0082,0.9278
48,vlo_i_1126,0.0092,0.9237
659,siglades_Cancun,0.0128,0.9099
696,siglades_Punta del Este,0.0133,0.9082
404,vlo_i_555,0.0133,0.9082
417,vlo_i_604,0.015,0.9024
54,vlo_i_1138,0.015,0.9024
506,vlo_i_86,0.0151,0.9023
216,vlo_i_221,0.0151,0.9021
415,vlo_i_600,0.0166,0.8974
183,vlo_i_176,0.0184,0.8922
160,vlo_i_1498,0.0186,0.8917
355,vlo_i_439,0.0214,0.8836
407,vlo_i_574,0.0215,0.8834
140,vlo_i_1322,0.0266,0.8705
603,dia_25,0.0271,0.8692
302,vlo_i_326,0.0282,0.8666
1,vlo_i_100,0.0301,0.8623
281,vlo_i_297,0.0341,0.8534
558,vlo_i_9653,0.0376,0.8462
500,vlo_i_849,0.0399,0.8417
350,vlo_i_43,0.0417,0.8382
503,vlo_i_8525,0.0468,0.8287
232,vlo_i_2374,0.0473,0.8279
259,vlo_i_2640,0.049,0.8247
527,vlo_i_9245,0.0527,0.8185
402,vlo_i_551,0.0529,0.8181
300,vlo_i_322,0.0555,0.8137
494,vlo_i_83,0.0557,0.8135
538,vlo_i_932,0.0564,0.8123
150,vlo_i_138,0.0648,0.7991
515,vlo_i_895,0.0665,0.7966
568,vlo_i_972,0.0676,0.7948
472,vlo_i_798,0.08,0.7773
255,vlo_i_263,0.0817,0.775
279,vlo_i_293,0.083,0.7733
516,vlo_i_897,0.083,0.7733
135,vlo_i_1300,0.083,0.7733
157,vlo_i_1446,0.0978,0.7545
485,vlo_i_8075,0.0993,0.7527
328,vlo_i_378,0.1032,0.7481
512,vlo_i_89,0.1055,0.7454
93,vlo_i_1228,0.1123,0.7375
36,vlo_i_1107,0.1123,0.7375
435,vlo_i_664,0.1123,0.7375
30,vlo_i_1101,0.1123,0.7375
